package	version	filename	url	sha256	requested
charset-normalizer	3.4.4	charset_normalizer-3.4.4-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	https://files.pythonhosted.org/packages/c0/10/d20b513afe03acc89ec33948320a5544d31f21b05368436d580dec4e234d/charset_normalizer-3.4.4-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	11d694519d7f29d6cd09f6ac70028dba10f92f6cdd059096db198c283794ac86	false
click	8.3.1	click-8.3.1-py3-none-any.whl	https://files.pythonhosted.org/packages/98/78/01c019cdb5d6498122777c1a43056ebb3ebfeef2076d9d026bfe15583b2b/click-8.3.1-py3-none-any.whl	981153a64e25f12d547d3426c367a4857371575ee7ad18df2a6183ab0545b2a6	false
ConfigArgParse	1.7.1	configargparse-1.7.1-py3-none-any.whl	https://files.pythonhosted.org/packages/31/28/d28211d29bcc3620b1fece85a65ce5bb22f18670a03cd28ea4b75ede270c/configargparse-1.7.1-py3-none-any.whl	8b586a31f9d873abd1ca527ffbe58863c99f36d896e2829779803125e83be4b6	false
diff-match-patch	20241021	diff_match_patch-20241021-py3-none-any.whl	https://files.pythonhosted.org/packages/f7/bb/2aa9b46a01197398b901e458974c20ed107935c26e44e37ad5b0e5511e44/diff_match_patch-20241021-py3-none-any.whl	93cea333fb8b2bc0d181b0de5e16df50dd344ce64828226bda07728818936782	false
diskcache	5.6.3	diskcache-5.6.3-py3-none-any.whl	https://files.pythonhosted.org/packages/3f/27/4570e78fc0bf5ea0ca45eb1de3818a23787af9b390c0b0a0033a1b8236f9/diskcache-5.6.3-py3-none-any.whl	5e31b2d5fbad117cc363ebaf6b689474db18a1f6438bc82358b024abd4c2ca19	false
distro	1.9.0	distro-1.9.0-py3-none-any.whl	https://files.pythonhosted.org/packages/12/b3/231ffd4ab1fc9d679809f356cebee130ac7daa00d6d6f3206dd4fd137e9e/distro-1.9.0-py3-none-any.whl	7bffd925d65168f85027d8da9af6bddab658135b840670a223589bc0c8ef02b2	false
fastapi	0.128.8	fastapi-0.128.8-py3-none-any.whl	https://files.pythonhosted.org/packages/9f/37/37b07e276f8923c69a5df266bfcb5bac4ba8b55dfe4a126720f8c48681d1/fastapi-0.128.8-py3-none-any.whl	5618f492d0fe973a778f8fec97723f598aa9deee495040a8d51aaf3cf123ecf1	false
fastuuid	0.14.0	fastuuid-0.14.0-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	https://files.pythonhosted.org/packages/16/6e/c0fb547eef61293153348f12e0f75a06abb322664b34a1573a7760501336/fastuuid-0.14.0-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	808527f2407f58a76c916d6aa15d58692a4a019fdf8d4c32ac7ff303b7d7af09	false
filelock	3.20.3	filelock-3.20.3-py3-none-any.whl	https://files.pythonhosted.org/packages/b5/36/7fb70f04bf00bc646cd5bb45aa9eddb15e19437a28b8fb2b4a5249fac770/filelock-3.20.3-py3-none-any.whl	4b0dda527ee31078689fc205ec4f1c1bf7d56cf88b6dc9426c4f230e46c2dce1	false
flake8	7.3.0	flake8-7.3.0-py2.py3-none-any.whl	https://files.pythonhosted.org/packages/9f/56/13ab06b4f93ca7cac71078fbe37fcea175d3216f31f85c3168a6bbd0bb9a/flake8-7.3.0-py2.py3-none-any.whl	b9696257b9ce8beb888cdbe31cf885c90d31928fe202be0889a7cdafad32f01e	false
frozenlist	1.8.0	frozenlist-1.8.0-cp312-cp312-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl	https://files.pythonhosted.org/packages/6a/bd/d91c5e39f490a49df14320f4e8c80161cfcce09f1e2cde1edd16a551abb3/frozenlist-1.8.0-cp312-cp312-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl	494a5952b1c597ba44e0e78113a7266e656b9794eec897b19ead706bd7074383	false
fsspec	2026.2.0	fsspec-2026.2.0-py3-none-any.whl	https://files.pythonhosted.org/packages/e6/ab/fb21f4c939bb440104cc2b396d3be1d9b7a9fd3c6c2a53d98c45b3d7c954/fsspec-2026.2.0-py3-none-any.whl	98de475b5cb3bd66bedd5c4679e87b4fdfe1a3bf4d707b151b3c07e58c9a2437	false
gitdb	4.0.12	gitdb-4.0.12-py3-none-any.whl	https://files.pythonhosted.org/packages/a0/61/5c78b91c3143ed5c14207f463aecfc8f9dbb5092fb2869baf37c273b2705/gitdb-4.0.12-py3-none-any.whl	67073e15955400952c6565cc3e707c554a4eea2e428946f7a4c162fab9bd9bcf	false
