package	version	type	filename	url	sha256	size	provenance
fire	0.7.1	wheel	fire-0.7.1-py3-none-any.whl	https://files.pythonhosted.org/packages/e5/4c/93d0f85318da65923e4b91c1c2ff03d8a458cbefebe3bc612a6693c7906d/fire-0.7.1-py3-none-any.whl	e43fd8a5033a9001e7e2973bab96070694b9f12f2e0ecf96d4683971b5ab1882	115945	uv.lock
firecrawl-anydoc	0.2.4	wheel	firecrawl_anydoc-0.2.4-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	https://files.pythonhosted.org/packages/fc/16/feeca9705bfdb237f1cb69ede0b373b144c0d51df4297e595a74b815557e/firecrawl_anydoc-0.2.4-cp310-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	0e5aed01bf6d4e5c588d3363888293f2ceeb9feb00449a32e0ba993797cf0bd3	3506751	uv.lock
frozenlist	1.8.0	wheel	frozenlist-1.8.0-cp311-cp311-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl	https://files.pythonhosted.org/packages/11/b1/71a477adc7c36e5fb628245dfbdea2166feae310757dea848d02bd0689fd/frozenlist-1.8.0-cp311-cp311-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl	2552f44204b744fba866e573be4c1f9048d6a324dfe14475103fd51613eb1d1f	231067	uv.lock
google-api-core	2.30.3	wheel	google_api_core-2.30.3-py3-none-any.whl	https://files.pythonhosted.org/packages/03/15/e56f351cf6ef1cfea58e6ac226a7318ed1deb2218c4b3cc9bd9e4b786c5a/google_api_core-2.30.3-py3-none-any.whl	a85761ba72c444dad5d611c2220633480b2b6be2521eca69cca2dbb3ffd6bfe8	173274	uv.lock
google-api-python-client	2.194.0	wheel	google_api_python_client-2.194.0-py3-none-any.whl	https://files.pythonhosted.org/packages/b0/34/5a624e49f179aa5b0cb87b2ce8093960299030ff40423bfbde09360eb908/google_api_python_client-2.194.0-py3-none-any.whl	61eaaac3b8fc8fdf11c08af87abc3d1342d1b37319cc1b57405f86ef7697e717	15016514	uv.lock
google-auth	2.55.1	wheel	google_auth-2.55.1-py3-none-any.whl	https://files.pythonhosted.org/packages/e8/1d/f6d3ca1ad0725f2e08a1c6915640748a52de2e66596160a4d53b010cccf0/google_auth-2.55.1-py3-none-any.whl	eada68dfd52b3b81191827601e2a0c3fa12540c818534b630ddc5355769c3995	252349	uv.lock
google-auth-httplib2	0.3.1	wheel	google_auth_httplib2-0.3.1-py3-none-any.whl	https://files.pythonhosted.org/packages/97/e9/93afb14d23a949acaa3f4e7cc51a0024671174e116e35f42850764b99634/google_auth_httplib2-0.3.1-py3-none-any.whl	682356a90ef4ba3d06548c37e9112eea6fc00395a11b0303a644c1a86abc275c	9534	uv.lock
google-auth-oauthlib	1.3.1	wheel	google_auth_oauthlib-1.3.1-py3-none-any.whl	https://files.pythonhosted.org/packages/2a/e0/cb454a95f460903e39f101e950038ec24a072ca69d0a294a6df625cc1627/google_auth_oauthlib-1.3.1-py3-none-any.whl	1a139ef23f1318756805b0e95f655c238bffd29655329a2978218248da4ee7f8	19247	uv.lock
googleapis-common-protos	1.73.0	wheel	googleapis_common_protos-1.73.0-py3-none-any.whl	https://files.pythonhosted.org/packages/69/28/23eea8acd65972bbfe295ce3666b28ac510dfcb115fac089d3edb0feb00a/googleapis_common_protos-1.73.0-py3-none-any.whl	dfdaaa2e860f242046be561e6d6cb5c5f1541ae02cfbcb034371aadb2942b4e8	297578	uv.lock
h11	0.16.0	wheel	h11-0.16.0-py3-none-any.whl	https://files.pythonhosted.org/packages/04/4b/29cac41a4d98d144bf5f6d33995617b185d14b22401f75ca86f384e87ff1/h11-0.16.0-py3-none-any.whl	63cf8bbe7522de3bf65932fda1d9c2772064ffb3dae62d55932da54b31cb6c86	37515	uv.lock
